iter	Passed	Remaining
362	1173	2059
363	1176	2055
364	1178	2050
365	1182	2049
366	1185	2045
367	1189	2043
368	1192	2039
369	1195	2034
370	1198	2031
371	1201	2028
372	1204	2024
373	1207	2021
374	1210	2017
375	1215	2016
376	1218	2012
377	1220	2008
378	1223	2004
379	1226	2000
380	1230	1999
381	1233	1996
382	1236	1992
383	1239	1988
384	1243	1986
385	1248	1985
386	1251	1981
387	1254	1978
388	1257	1974
389	1264	1977
390	1267	1974
391	1270	1970
392	1273	1967
393	1277	1965
394	1280	1961
395	1283	1957
396	1287	1954
397	1290	1951
398	1294	1949
399	1297	1946
400	1300	1943
401	1303	1939
402	1305	1934
403	1309	1931
404	1312	1928
405	1316	1925
406	1319	1922
407	1321	1918
408	1326	1917
409	1329	1913
410	1332	1909
411	1335	1906
412	1338	1902
413	1342	1900
414	1345	1896
415	1348	1893
416	1351	1889
417	1354	1885
418	1357	1882
419	1360	1879
420	1363	1875
421	1366	1871
422	1368	1867
423	1371	1863
424	1375	1861
425	1378	1857
426	1381	1853
427	1383	1849
428	1386	1845
429	1390	1842
430	1393	1839
431	1395	1835
432	1398	1831
433	1401	1827
434	1403	1823
435	1407	1820
436	1409	1816
437	1412	1812
438	1415	1808
439	1418	1804
440	1421	1802
441	1424	1798
442	1427	1794
443	1430	1791
444	1432	1787
445	1435	1783
446	1439	1780
447	1442	1776
448	1445	1773
449	1447	1769
450	1450	1765
451	1453	1762
452	1456	1758
453	1459	1754
454	1461	1750
455	1464	1747
456	1467	1743
457	1470	1739
458	1473	1736
459	1475	1732
460	1478	1728
461	1481	1725
462	1484	1721
463	1487	1718
464	1490	1714
465	1492	1710
466	1495	1706
467	1498	1702
468	1501	1700
469	1504	1696
470	1507	1692
471	1509	1689
472	1512	1685
473	1515	1681
474	1518	1678
475	1521	1674
476	1524	1671
477	1527	1667
478	1530	1664
479	1533	1661
480	1536	1658
481	1539	1654
482	1542	1650
483	1545	1647
484	1547	1643
485	1551	1640
486	1553	1636
487	1556	1633
488	1559	1629
489	1562	1625
490	1564	1622
491	1567	1618
492	1570	1615
493	1573	1611
494	1576	1608
495	1578	1604
496	1581	1600
497	1584	1597
498	1587	1593
499	1590	1590
500	1592	1586
501	1595	1582
502	1598	1579
503	1601	1575
504	1604	1572
505	1606	1568
506	1609	1565
507	1612	1561
508	1615	1558
509	1618	1555
510	1621	1551
511	1624	1548
512	1627	1544
513	1631	1542
514	1634	1539
515	1637	1536
516	1640	1532
517	1643	1529
518	1646	1526
519	1650	1523
520	1652	1519
521	1656	1516
522	1659	1513
523	1662	1510
524	1665	1506
525	1668	1503
526	1671	1499
527	1674	1496
528	1677	1493
529	1680	1490
530	1682	1486
531	1685	1482
532	1688	1479
533	1691	1475
534	1693	1472
535	1696	1469
536	1699	1465
537	1702	1462
538	1705	1458
539	1708	1455
540	1711	1452
541	1714	1449
542	1721	1448
543	1728	1448
544	1731	1445
545	1733	1441
546	1736	1438
547	1739	1434
548	1741	1431
549	1745	1427
550	1747	1424
551	1750	1420
552	1753	1417
553	1756	1413
554	1758	1410
555	1761	1406
556	1764	1403
557	1767	1400
558	1770	1396
559	1773	1393
560	1776	1389
561	1778	1386
562	1781	1382
563	1784	1379
564	1787	1375
565	1789	1372
566	1792	1369
567	1795	1365
568	1798	1362
569	1800	1358
570	1803	1355
571	1806	1351
572	1809	1348
573	1812	1345
574	1815	1342
575	1818	1338
576	1821	1335
577	1825	1332
578	1828	1329
579	1831	1326
580	1833	1322
581	1836	1318
582	1840	1316
583	1843	1312
584	1846	1309
585	1848	1306
586	1851	1302
587	1854	1299
588	1857	1296
589	1860	1292
590	1863	1289
591	1866	1286
592	1868	1282
593	1871	1279
594	1874	1275
595	1877	1272
596	1879	1269
597	1882	1265
598	1885	1261
599	1887	1258
600	1890	1255
601	1893	1251
602	1895	1248
603	1898	1244
604	1901	1241
605	1905	1238
606	1907	1235
607	1910	1231
608	1912	1228
609	1915	1224
610	1918	1221
611	1921	1218
612	1924	1214
613	1926	1211
614	1929	1207
615	1931	1204
616	1934	1200
617	1937	1197
618	1940	1194
619	1943	1190
620	1945	1187
621	1948	1184
622	1952	1181
623	1954	1177
624	1957	1174
625	1960	1171
626	1963	1167
627	1966	1164
628	1969	1161
629	1972	1158
630	1974	1154
631	1977	1151
632	1980	1148
633	1982	1144
634	1986	1141
635	1988	1138
636	1991	1134
637	1993	1131
638	1996	1127
639	1999	1124
640	2002	1121
641	2005	1118
642	2007	1114
643	2011	1111
644	2014	1108
645	2017	1105
646	2020	1102
647	2022	1098
648	2025	1095
649	2056	1107
650	2073	1111
651	2077	1108
652	2092	1111
653	2095	1108
654	2099	1106
655	2104	1103
656	2107	1100
657	2110	1096
658	2113	1093
659	2118	1091
660	2120	1087
661	2123	1084
662	2126	1080
663	2128	1077
664	2133	1074
665	2136	1071
666	2139	1067
667	2141	1064
668	2144	1060
669	2146	1057
670	2149	1053
671	2152	1050
672	2154	1046
673	2157	1043
674	2159	1039
675	2162	1036
676	2165	1033
677	2168	1029
678	2171	1026
679	2173	1022
680	2176	1019
681	2179	1016
682	2183	1013
683	2186	1009
684	2188	1006
685	2192	1003
686	2195	1000
687	2199	997
688	2202	994
689	2205	990
690	2207	987
691	2210	983
692	2215	981
693	2217	977
694	2220	974
695	2223	971
696	2225	967
697	2229	964
698	2232	961
699	2234	957
700	2237	954
701	2239	950
702	2243	947
703	2246	944
704	2249	941
705	2253	938
706	2257	935
707	2261	932
708	2264	929
709	2267	926
710	2271	923
711	2275	920
712	2278	917
713	2283	914
714	2287	911
715	2290	908
716	2299	907
717	2303	904
718	2308	902
719	2311	898
720	2315	895
721	2318	892
722	2322	889
723	2326	886
724	2329	883
725	2333	880
726	2336	877
727	2339	874
728	2343	871
729	2346	868
730	2351	865
731	2353	861
732	2357	858
733	2359	855
734	2363	852
735	2366	848
736	2369	845
737	2374	843
738	2378	840
739	2381	836
740	2384	833
741	2387	830
742	2390	826
743	2393	823
744	2396	820
745	2399	817
746	2402	813
747	2406	810
748	2409	807
749	2411	803
750	2414	800
751	2417	797
752	2420	793
753	2426	791
754	2429	788
755	2432	785
756	2435	781
757	2440	779
758	2443	775
759	2445	772
760	2448	768
761	2451	765
762	2455	762
763	2457	759
764	2461	756
765	2464	752
766	2466	749
767	2470	746
768	2473	743
769	2476	739
770	2479	736
771	2483	733
772	2487	730
773	2490	727
774	2493	723
775	2496	720
776	2499	717
777	2503	714
778	2506	711
779	2509	707
780	2511	704
781	2514	700
782	2516	697
783	2520	694
784	2523	691
785	2526	687
786	2528	684
787	2531	681
788	2534	677
789	2537	674
790	2540	671
791	2543	667
792	2546	664
793	2548	661
794	2551	657
795	2553	654
796	2556	651
797	2559	647
798	2561	644
799	2564	641
800	2567	637
801	2570	634
802	2573	631
803	2576	627
804	2578	624
805	2581	621
806	2583	617
807	2586	614
808	2589	611
809	2591	607
810	2594	604
811	2596	601
812	2599	597
813	2602	594
814	2604	591
815	2607	587
816	2609	584
817	2612	581
818	2615	578
819	2618	574
820	2620	571
821	2623	568
822	2625	564
823	2628	561
824	2631	558
825	2634	554
826	2636	551
827	2639	548
828	2642	544
829	2644	541
830	2647	538
831	2650	535
832	2652	531
833	2655	528
834	2658	525
835	2660	521
836	2663	518
837	2666	515
838	2669	512
839	2671	508
840	2674	505
841	2677	502
842	2680	499
843	2682	495
844	2685	492
845	2688	489
846	2691	486
847	2693	482
848	2696	479
849	2699	476
850	2702	473
851	2705	470
852	2708	466
853	2712	463
854	2714	460
855	2717	457
856	2720	453
857	2723	450
858	2726	447
859	2729	444
860	2732	441
861	2735	437
862	2738	434
863	2742	431
864	2747	428
865	2750	425
866	2753	422
867	2756	419
868	2760	416
869	2764	413
870	2767	409
871	2770	406
872	2772	403
873	2776	400
874	2779	397
875	2782	393
876	2785	390
877	2787	387
878	2791	384
879	2794	381
880	2797	377
881	2799	374
882	2802	371
883	2805	368
884	2809	365
885	2812	361
886	2815	358
887	2817	355
888	2820	352
889	2824	349
890	2826	345
891	2829	342
892	2832	339
893	2835	336
894	2837	332
895	2841	329
896	2844	326
897	2847	323
898	2850	320
899	2852	316
900	2856	313
901	2858	310
902	2861	307
903	2864	304
904	2866	300
905	2869	297
906	2872	294
907	2875	291
908	2878	288
909	2881	284
910	2883	281
911	2886	278
912	2889	275
913	2891	272
914	2894	268
915	2897	265
916	2899	262
917	2902	259
918	2905	256
919	2907	252
920	2910	249
921	2913	246
922	2915	243
923	2918	240
924	2921	236
925	2923	233
926	2926	230
927	2929	227
928	2931	224
929	2934	220
930	2937	217
931	2939	214
932	2942	211
933	2945	208
934	2947	204
935	2950	201
936	2953	198
937	2955	195
938	2958	192
939	2961	189
940	2963	185
941	2966	182
942	2969	179
943	2971	176
944	2974	173
945	2977	169
946	2979	166
947	2983	163
948	2986	160
949	2988	157
950	2991	154
951	2994	150
952	2996	147
953	2999	144
954	3002	141
955	3005	138
956	3008	135
957	3010	131
958	3013	128
959	3015	125
960	3019	122
961	3022	119
962	3025	116
963	3028	113
964	3031	109
965	3035	106
966	3038	103
967	3041	100
968	3044	97
969	3046	94
970	3051	91
971	3054	87
972	3057	84
973	3060	81
974	3063	78
975	3067	75
976	3070	72
977	3073	69
978	3076	66
979	3081	62
980	3084	59
981	3087	56
982	3090	53
983	3092	50
984	3097	47
985	3100	44
986	3102	40
987	3105	37
988	3108	34
989	3112	31
990	3115	28
991	3118	25
992	3121	22
993	3123	18
994	3126	15
995	3130	12
996	3134	9
997	3137	6
998	3140	3
999	3144	0
